teams_ordered,champion,champ_points,champ_margin,year
"['1. FC Köln', 'Meidericher SV', 'Frankfurter SG Eintracht', 'Borussia Dortmund', 'VfB Stuttgart', 'Hamburger SV', 'TSV 1860 München', 'FC Schalke 04', '1. FC Nürnberg', 'Werder Bremen', 'Eintracht Braunschweig', '1. FC Kaiserslautern', 'Karlsruher SC', 'Hertha BSC', 'Preußen Münster', '1. FC Saarbrücken']",1. FC Köln,45,6,1963-1964
"['Werder Bremen', '1. FC Köln', 'Borussia Dortmund', 'TSV 1860 München', 'Hannover 96', '1. FC Nürnberg', 'Meidericher SV', 'Frankfurter SG Eintracht', 'Eintracht Braunschweig', 'Borussia Neunkirchen', 'Hamburger SV', 'VfB Stuttgart', '1. FC Kaiserslautern', 'Hertha BSC', 'Karlsruher SC', 'FC Schalke 04']",Werder Bremen,41,3,1964-1965
"['TSV 1860 München', 'Borussia Dortmund', 'Bayern München', 'Werder Bremen', '1. FC Köln', '1. FC Nürnberg', 'Frankfurter SG Eintracht', 'Meidericher SV', 'Hamburger SV', 'Eintracht Braunschweig', 'VfB Stuttgart', 'Hannover 96', 'Bor. Mönchengladbach', 'FC Schalke 04', '1. FC Kaiserslautern', 'Karlsruher SC', 'Borussia Neunkirchen', 'Tasmania 1900 Berlin']",TSV 1860 München,50,3,1965-1966
"['Eintracht Braunschweig', 'TSV 1860 München', 'Borussia Dortmund', 'Frankfurter SG Eintracht', '1. FC Kaiserslautern', 'Bayern München', '1. FC Köln', 'Bor. Mönchengladbach', 'Hannover 96', '1. FC Nürnberg', 'MSV Duisburg', 'VfB Stuttgart', 'Karlsruher SC', 'Hamburger SV', 'FC Schalke 04', 'Werder Bremen', 'Rot-Weiss Essen', 'Fortuna Düsseldorf']",Eintracht Braunschweig,43,2,1966-1967
"['1. FC Nürnberg', 'Werder Bremen', 'Bor. Mönchengladbach', '1. FC Köln', 'Bayern München', 'Eintracht Frankfurt', 'MSV Duisburg', 'VfB Stuttgart', 'Eintracht Braunschweig', 'Hannover 96', 'Alemannia Aachen', 'TSV 1860 München', 'Hamburger SV', 'Borussia Dortmund', 'FC Schalke 04', '1. FC Kaiserslautern', 'Borussia Neunkirchen', 'Karlsruher SC']",1. FC Nürnberg,47,3,1967-1968
"['Bayern München', 'Alemannia Aachen', 'Bor. Mönchengladbach', 'Eintracht Braunschweig', 'VfB Stuttgart', 'Hamburger SV', 'FC Schalke 04', 'Eintracht Frankfurt', 'Werder Bremen', 'TSV 1860 München', 'Hannover 96', 'MSV Duisburg', 'Hertha BSC', '1. FC Köln', '1. FC Kaiserslautern', 'Borussia Dortmund', '1. FC Nürnberg', 'Kickers Offenbach']",Bayern München,46,8,1968-1969
"['Bor. Mönchengladbach', 'Bayern München', 'Hertha BSC', '1. FC Köln', 'Borussia Dortmund', 'Hamburger SV', 'VfB Stuttgart', 'Eintracht Frankfurt', 'FC Schalke 04', '1. FC Kaiserslautern', 'Werder Bremen', 'Rot-Weiss Essen', 'Hannover 96', 'Rot-Weiß Oberhausen', 'MSV Duisburg', 'Eintracht Braunschweig', 'TSV 1860 München', 'Alemannia Aachen']",Bor. Mönchengladbach,51,4,1969-1970
"['Bor. Mönchengladbach', 'Bayern München', 'Hertha BSC', 'Eintracht Braunschweig', 'Hamburger SV', 'FC Schalke 04', 'MSV Duisburg', '1. FC Kaiserslautern', 'Hannover 96', 'Werder Bremen', '1. FC Köln', 'VfB Stuttgart', 'Borussia Dortmund', 'Arminia Bielefeld', 'Eintracht Frankfurt', 'Rot-Weiß Oberhausen', 'Kickers Offenbach', 'Rot-Weiss Essen']",Bor. Mönchengladbach,50,2,1970-1971
"['Bayern München', 'FC Schalke 04', 'Bor. Mönchengladbach', '1. FC Köln', 'Eintracht Frankfurt', 'Hertha BSC', '1. FC Kaiserslautern', 'VfB Stuttgart', 'VfL Bochum', 'Hamburger SV', 'Werder Bremen', 'Eintracht Braunschweig', 'Fortuna Düsseldorf', 'MSV Duisburg', 'Rot-Weiß Oberhausen', 'Hannover 96', 'Borussia Dortmund', 'Arminia Bielefeld']",Bayern München,55,3,1971-1972
"['Bayern München', '1. FC Köln', 'Fortuna Düsseldorf', 'Wuppertaler SV', 'Bor. Mönchengladbach', 'VfB Stuttgart', 'Kickers Offenbach', 'Eintracht Frankfurt', '1. FC Kaiserslautern', 'MSV Duisburg', 'Werder Bremen', 'VfL Bochum', 'Hertha BSC', 'Hamburger SV', 'FC Schalke 04', 'Hannover 96', 'Eintracht Braunschweig', 'Rot-Weiß Oberhausen']",Bayern München,54,11,1972-1973
