teams_ordered,champion,champ_points,champ_margin,year
"['Real Madrid', 'FC Barcelona', 'Real Betis', 'Real Zaragoza', 'Elche CF', 'Valencia CF', 'Athletic Bilbao', 'Atlético Madrid', 'Sevilla FC', 'Levante UD', 'Córdoba CF', 'Real Murcia', 'Espanyol Barcelona', 'Real Oviedo', 'Pontevedra CF', 'Real Valladolid']",Real Madrid,46,4,1963-1964
"['Real Madrid', 'Atlético Madrid', 'Real Zaragoza', 'Valencia CF', 'Córdoba CF', 'FC Barcelona', 'Athletic Bilbao', 'Elche CF', 'UD Las Palmas', 'Sevilla FC', 'Espanyol Barcelona', 'Real Betis', 'Real Murcia', 'Levante UD', 'Real Oviedo', 'Deportivo La Coruña']",Real Madrid,47,4,1964-1965
"['Atlético Madrid', 'Real Madrid', 'FC Barcelona', 'Real Zaragoza', 'Athletic Bilbao', 'Elche CF', 'Pontevedra CF', 'Valencia CF', 'Sevilla FC', 'UD Las Palmas', 'Córdoba CF', 'CD Málaga', 'Espanyol Barcelona', 'RCD Mallorca', 'CE Sabadell', 'Real Betis']",Atlético Madrid,44,1,1965-1966
"['Real Madrid', 'FC Barcelona', 'Espanyol Barcelona', 'Atlético Madrid', 'Real Zaragoza', 'Valencia CF', 'Athletic Bilbao', 'CE Sabadell', 'Pontevedra CF', 'Elche CF', 'UD Las Palmas', 'Córdoba CF', 'Sevilla FC', 'Granada CF', 'Hércules CF', 'Deportivo La Coruña']",Real Madrid,47,5,1966-1967
"['Real Madrid', 'FC Barcelona', 'UD Las Palmas', 'Valencia CF', 'Real Zaragoza', 'Atlético Madrid', 'Athletic Bilbao', 'Pontevedra CF', 'Espanyol Barcelona', 'CD Málaga', 'Elche CF', 'CE Sabadell', 'Córdoba CF', 'Real Sociedad', 'Sevilla FC', 'Real Betis']",Real Madrid,42,3,1967-1968
"['Real Madrid', 'UD Las Palmas', 'FC Barcelona', 'CE Sabadell', 'Valencia CF', 'Atlético Madrid', 'Real Sociedad', 'Elche CF', 'Granada CF', 'Athletic Bilbao', 'Deportivo La Coruña', 'Pontevedra CF', 'Real Zaragoza', 'CD Málaga', 'Espanyol Barcelona', 'Córdoba CF']",Real Madrid,47,9,1968-1969
"['Atlético Madrid', 'Athletic Bilbao', 'Valencia CF', 'FC Barcelona', 'Real Madrid', 'Sevilla FC', 'Real Sociedad', 'Real Zaragoza', 'UD Las Palmas', 'RC Celta', 'Granada CF', 'Elche CF', 'CE Sabadell', 'Deportivo La Coruña', 'RCD Mallorca', 'Pontevedra CF']",Atlético Madrid,42,1,1969-1970
"['Valencia CF', 'FC Barcelona', 'Atlético Madrid', 'Real Madrid', 'Athletic Bilbao', 'RC Celta', 'Sevilla FC', 'Real Sociedad', 'Granada CF', 'CD Málaga', 'Espanyol Barcelona', 'Sporting Gijón', 'CE Sabadell', 'UD Las Palmas', 'Elche CF', 'Real Zaragoza']",Valencia CF,43,0,1970-1971
"['Real Madrid', 'Valencia CF', 'FC Barcelona', 'Atlético Madrid', 'UD Las Palmas', 'Granada CF', 'CD Málaga', 'Athletic Bilbao', 'Real Sociedad', 'RC Celta', 'Sporting Gijón', 'Espanyol Barcelona', 'Deportivo La Coruña', 'Real Betis', 'Burgos CF', 'Sevilla FC', 'Córdoba CF', 'CE Sabadell']",Real Madrid,47,2,1971-1972
"['Atlético Madrid', 'FC Barcelona', 'Espanyol Barcelona', 'Real Madrid', 'CD Castellón', 'Valencia CF', 'Real Zaragoza', 'Real Sociedad', 'CD Málaga', 'Athletic Bilbao', 'UD Las Palmas', 'Real Oviedo', 'Sporting Gijón', 'RC Celta', 'Granada CF', 'Real Betis', 'Deportivo La Coruña', 'Burgos CF']",Atlético Madrid,48,2,1972-1973
"['FC Barcelona', 'Atlético Madrid', 'Real Zaragoza', 'Real Sociedad', 'Athletic Bilbao', 'Granada CF', 'CD Málaga', 'Real Madrid', 'Espanyol Barcelona', 'Valencia CF', 'UD Las Palmas', 'RC Celta', 'Sporting Gijón', 'Elche CF', 'Real Murcia', 'CD Castellón', 'Racing Santander', 'Real Oviedo']",FC Barcelona,50,8,1973-1974
"['Real Madrid', 'Real Zaragoza', 'FC Barcelona', 'Real Sociedad', 'Hércules CF', 'Atlético Madrid', 'UD Salamanca', 'Real Betis', 'Elche CF', 'Athletic Bilbao', 'Espanyol Barcelona', 'Valencia CF', 'UD Las Palmas', 'Sporting Gijón', 'CD Málaga', 'Granada CF', 'RC Celta', 'Real Murcia']",Real Madrid,50,12,1974-1975
"['Real Madrid', 'FC Barcelona', 'Atlético Madrid', 'Espanyol Barcelona', 'Athletic Bilbao', 'Hércules CF', 'Real Betis', 'Real Sociedad', 'UD Salamanca', 'Valencia CF', 'Sevilla FC', 'Racing Santander', 'Real Zaragoza', 'UD Las Palmas', 'Elche CF', 'Real Oviedo', 'Granada CF', 'Sporting Gijón']",Real Madrid,48,5,1975-1976
"['Atlético Madrid', 'FC Barcelona', 'Athletic Bilbao', 'Valencia CF', 'UD Las Palmas', 'Espanyol Barcelona', 'Real Betis', 'Real Sociedad', 'Real Madrid', 'Sevilla FC', 'Elche CF', 'Burgos CF', 'UD Salamanca', 'Hércules CF', 'Racing Santander', 'Real Zaragoza', 'RC Celta', 'CD Málaga']",Atlético Madrid,46,1,1976-1977
