teams_ordered,champion,champ_points,champ_margin,year
"['AS Saint-Étienne', 'AS Monaco', 'RC Lens', 'Olympique Lyon', 'Toulouse FC', 'US Valenciennes-Anzin', 'Girondins Bordeaux', 'FC Nantes', 'RC Strasbourg', 'Angers SCO', 'Stade Rennais', 'UA Sedan-Torcy', 'Nîmes Olympique', 'FC Rouen 1899', 'Stade Français FC', 'Racing Club de France', 'Stade Reims', 'OGC Nice']",AS Saint-Étienne,44,3,1963-1964
"['FC Nantes', 'Girondins Bordeaux', 'US Valenciennes-Anzin', 'Stade Rennais', 'RC Strasbourg', 'Olympique Lyon', 'AS Saint-Étienne', 'RC Lens', 'Lille OSC', 'FC Sochaux', 'Toulouse FC', 'AS Monaco', 'Angers SCO', 'UA Sedan-Torcy', 'Stade Français FC', 'FC Rouen 1899', 'Nîmes Olympique', 'Sporting Club de Toulon']",FC Nantes,43,2,1964-1965
"['FC Nantes', 'Girondins Bordeaux', 'US Valenciennes-Anzin', 'Toulouse FC', 'AS Saint-Étienne', 'Stade Rennais', 'FC Sochaux', 'RC Strasbourg', 'UA Sedan-Torcy', 'OGC Nice', 'Angers SCO', 'RC Lens', 'AS Monaco', 'FC Rouen 1899', 'Stade Français FC', 'Olympique Lyon', 'Nîmes Olympique', 'Lille OSC', 'AS Cannes', 'Red Star FC']",FC Nantes,60,7,1965-1966
"['AS Saint-Étienne', 'FC Nantes', 'Angers SCO', 'Girondins Bordeaux', 'CS Sedan', 'OGC Nice', 'US Valenciennes-Anzin', 'RC Lens', 'Olympique Marseille', 'Lille OSC', 'Stade Rennais', 'RC Strasbourg', 'FC Sochaux', 'AS Monaco', 'Olympique Lyon', 'FC Rouen 1899', 'Toulouse FC', 'Nîmes Olympique', 'Stade Reims', 'Stade de Paris FC']",AS Saint-Étienne,54,4,1966-1967
"['AS Saint-Étienne', 'OGC Nice', 'FC Sochaux', 'Olympique Marseille', 'US Valenciennes-Anzin', 'FC Metz', 'FC Nantes', 'Girondins Bordeaux', 'AC Ajaccio', 'CS Sedan', 'AS Monaco', 'Olympique Lyon', 'Red Star FC', 'Stade Rennais', 'FC Rouen 1899', 'RC Strasbourg', 'RC Lens', 'Angers SCO', 'Lille OSC', 'AS Aixoise']",AS Saint-Étienne,57,11,1967-1968
"['AS Saint-Étienne', 'Girondins Bordeaux', 'FC Metz', 'FC Rouen 1899', 'CS Sedan', 'SC Bastia', 'Olympique Marseille', 'US Valenciennes-Anzin', 'Olympique Lyon', 'FC Nantes', 'Stade Rennais', 'FC Sochaux', 'RC Strasbourg', 'Nîmes Olympique', 'Red Star FC', 'AC Ajaccio', 'AS Monaco', 'OGC Nice']",AS Saint-Étienne,53,2,1968-1969
"['AS Saint-Étienne', 'Olympique Marseille', 'CS Sedan', 'AS Angoulême', 'RC Strasbourg', 'Girondins Bordeaux', 'Angers SCO', 'FC Metz', 'FC Sochaux', 'FC Nantes', 'Nîmes Olympique', 'FC Rouen 1899', 'Red Star FC', 'Stade Rennais', 'Olympique Lyon', 'AC Ajaccio', 'SC Bastia', 'US Valenciennes-Anzin']",AS Saint-Étienne,56,11,1969-1970
"['Olympique Marseille', 'AS Saint-Étienne', 'FC Nantes', 'Nîmes Olympique', 'Girondins Bordeaux', 'AC Ajaccio', 'Olympique Lyon', 'FC Metz', 'Stade Reims', 'FC Sochaux', 'Stade Rennais', 'Angers SCO', 'AS Nancy Lorraine', 'OGC Nice', 'Red Star FC', 'AS Angoulême', 'SC Bastia', 'RC Strasbourg', 'US Valenciennes-Anzin', 'CS Sedan']",Olympique Marseille,55,4,1970-1971
"['Olympique Marseille', 'Nîmes Olympique', 'FC Sochaux', 'Angers SCO', 'Olympique Lyon', 'AS Saint-Étienne', 'FC Nantes', 'OGC Nice', 'SC Bastia', 'AS Nancy Lorraine', 'Stade Rennais', 'Girondins Bordeaux', 'AC Ajaccio', 'FC Metz', 'Stade Reims', 'Paris Saint-Germain', 'Red Star FC', 'Lille OSC', 'AS Monaco', 'AS Angoulême']",Olympique Marseille,56,5,1971-1972
"['FC Nantes', 'OGC Nice', 'Olympique Marseille', 'AS Saint-Étienne', 'Angers SCO', 'AS Nancy Lorraine', 'Nîmes Olympique', 'Stade Reims', 'SC Bastia', 'Stade Rennais', 'FC Sochaux', 'Paris FC', 'Olympique Lyon', 'Girondins Bordeaux', 'FC Metz', 'RC Strasbourg', 'CS Sedan', 'US Valenciennes-Anzin', 'Red Star FC', 'AC Ajaccio']",FC Nantes,55,5,1972-1973
