teams_ordered,champion,champ_points,champ_margin,year
"['Bologna FC', 'Inter', 'AC Milan', 'ACF Fiorentina', 'Juventus', 'Lanerossi Vicenza', 'Torino FC', 'Genoa CFC', 'Lazio Roma', 'Calcio Catania', 'Atalanta', 'AS Roma', 'AC Mantova', 'A.C.R. Messina', 'Sampdoria', 'Modena FC', 'SPAL Ferrara', 'AS Bari']",Bologna FC,54,0,1963-1964
"['Inter', 'AC Milan', 'Torino FC', 'Juventus', 'ACF Fiorentina', 'Bologna FC', 'Cagliari Calcio', 'Calcio Catania', 'US Foggia', 'AS Roma', 'AS Varese 1910', 'Atalanta', 'Lanerossi Vicenza', 'Sampdoria', 'Lazio Roma', 'Genoa CFC', 'A.C.R. Messina', 'AC Mantova']",Inter,54,3,1964-1965
"['Inter', 'Bologna FC', 'SSC Napoli', 'ACF Fiorentina', 'Juventus', 'Lanerossi Vicenza', 'AC Milan', 'AS Roma', 'Brescia Calcio', 'Torino FC', 'Cagliari Calcio', 'US Foggia', 'Lazio Roma', 'Atalanta', 'SPAL Ferrara', 'Sampdoria', 'Calcio Catania', 'AS Varese 1910']",Inter,50,4,1965-1966
"['Juventus', 'Inter', 'Bologna FC', 'SSC Napoli', 'ACF Fiorentina', 'Cagliari Calcio', 'Torino FC', 'AC Milan', 'AC Mantova', 'AS Roma', 'Atalanta', 'SPAL Ferrara', 'Lanerossi Vicenza', 'Brescia Calcio', 'Lazio Roma', 'US Foggia', 'AC Venezia', 'Calcio Lecco 1912']",Juventus,49,1,1966-1967
"['AC Milan', 'SSC Napoli', 'Juventus', 'ACF Fiorentina', 'Inter', 'Bologna FC', 'Torino FC', 'AS Varese 1910', 'Cagliari Calcio', 'Sampdoria', 'AS Roma', 'Lanerossi Vicenza', 'Atalanta', 'SPAL Ferrara', 'Brescia Calcio', 'AC Mantova']",AC Milan,46,9,1967-1968
"['ACF Fiorentina', 'Cagliari Calcio', 'AC Milan', 'Inter', 'Juventus', 'Torino FC', 'SSC Napoli', 'AS Roma', 'Bologna FC', 'Hellas Verona', 'SSC Palermo', 'Sampdoria', 'Lanerossi Vicenza', 'AS Varese 1910', 'Pisa SC', 'Atalanta']",ACF Fiorentina,45,4,1968-1969
"['Cagliari Calcio', 'Inter', 'Juventus', 'AC Milan', 'ACF Fiorentina', 'SSC Napoli', 'Torino FC', 'Lazio Roma', 'Lanerossi Vicenza', 'Bologna FC', 'AS Roma', 'Hellas Verona', 'Sampdoria', 'Brescia Calcio', 'SSC Palermo', 'AS Bari']",Cagliari Calcio,45,4,1969-1970
"['Inter', 'AC Milan', 'SSC Napoli', 'Juventus', 'Bologna FC', 'AS Roma', 'Cagliari Calcio', 'Torino FC', 'AS Varese 1910', 'Lanerossi Vicenza', 'Hellas Verona', 'Sampdoria', 'ACF Fiorentina', 'US Foggia', 'Lazio Roma', 'Calcio Catania']",Inter,46,4,1970-1971
"['Juventus', 'AC Milan', 'Torino FC', 'Cagliari Calcio', 'Inter', 'ACF Fiorentina', 'AS Roma', 'SSC Napoli', 'Sampdoria', 'Atalanta', 'Bologna FC', 'Lanerossi Vicenza', 'Hellas Verona', 'AC Mantova', 'US Catanzaro', 'AS Varese 1910']",Juventus,43,1,1971-1972
"['Juventus', 'AC Milan', 'Lazio Roma', 'ACF Fiorentina', 'Inter', 'Torino FC', 'Bologna FC', 'Cagliari Calcio', 'SSC Napoli', 'Hellas Verona', 'AS Roma', 'Sampdoria', 'Lanerossi Vicenza', 'Atalanta', 'SSC Palermo', 'Ternana Calcio']",Juventus,45,1,1972-1973
"['Lazio Roma', 'Juventus', 'SSC Napoli', 'Inter', 'Torino FC', 'ACF Fiorentina', 'AC Milan', 'AS Roma', 'Bologna FC', 'Cagliari Calcio', 'AC Cesena', 'Lanerossi Vicenza', 'Hellas Verona', 'Sampdoria', 'US Foggia', 'Genoa CFC']",Lazio Roma,43,2,1973-1974
"['Juventus', 'SSC Napoli', 'AS Roma', 'Lazio Roma', 'AC Milan', 'Torino FC', 'Bologna FC', 'ACF Fiorentina', 'Inter', 'Cagliari Calcio', 'AC Cesena', 'Ascoli Calcio', 'Sampdoria', 'Lanerossi Vicenza', 'Ternana Calcio', 'AS Varese 1910']",Juventus,43,2,1974-1975
"['Torino FC', 'Juventus', 'AC Milan', 'Inter', 'SSC Napoli', 'AC Cesena', 'Bologna FC', 'AC Perugia', 'ACF Fiorentina', 'AS Roma', 'Hellas Verona', 'Sampdoria', 'Lazio Roma', 'Ascoli Calcio', 'Calcio Como', 'Cagliari Calcio']",Torino FC,45,2,1975-1976
"['Juventus', 'Torino FC', 'ACF Fiorentina', 'Inter', 'Lazio Roma', 'AC Perugia', 'SSC Napoli', 'AS Roma', 'Hellas Verona', 'AC Milan', 'Genoa CFC', 'Bologna FC', 'US Foggia', 'Sampdoria', 'US Catanzaro', 'AC Cesena']",Juventus,51,1,1976-1977
"['Juventus', 'Lanerossi Vicenza', 'Torino FC', 'AC Milan', 'Inter', 'SSC Napoli', 'AC Perugia', 'AS Roma', 'Atalanta', 'Hellas Verona', 'Lazio Roma', 'Bologna FC', 'ACF Fiorentina', 'Genoa CFC', 'US Foggia', 'Pescara Calcio']",Juventus,44,5,1977-1978
"['AC Milan', 'AC Perugia', 'Juventus', 'Inter', 'Torino FC', 'SSC Napoli', 'ACF Fiorentina', 'Lazio Roma', 'US Catanzaro', 'Ascoli Calcio', 'US Avellino', 'AS Roma', 'Bologna FC', 'Lanerossi Vicenza', 'Atalanta', 'Hellas Verona']",AC Milan,44,3,1978-1979
