teams_ordered,champion,champ_points,champ_margin,year
"['DWS Amsterdam', 'PSV Eindhoven', 'Sportclub Enschede', 'Feijenoord', 'AFC Ajax', 'NAC Breda', ""Fortuna '54"", 'Groninger VAV', 'DOS Utrecht', 'ADO', 'MVV', 'Go Ahead', 'AVC Heracles', 'RC&FC Sparta', 'Blauw Wit', 'RKSV Volendam']",DWS Amsterdam,43,2,1963-1964
"['Feijenoord', 'DWS Amsterdam', 'ADO', 'PSV Eindhoven', 'RC&FC Sparta', ""Fortuna '54"", 'Sportclub Enschede', 'MVV', 'AVC Heracles', 'Telstar', 'Go Ahead', 'DOS Utrecht', 'AFC Ajax', 'Groninger VAV', 'Sittardia', 'NAC Breda']",Feijenoord,45,5,1964-1965
"['AFC Ajax', 'Feijenoord', 'ADO', 'DWS Amsterdam', 'Go Ahead', 'GVAV Groningen', 'RC&FC Sparta', 'PSV Eindhoven', ""Fortuna '54"", 'Willem II', ""FC Twente '65"", 'DOS Utrecht', 'Telstar', 'USV Elinkwijk', 'MVV', 'AVC Heracles']",AFC Ajax,52,7,1965-1966
"['AFC Ajax', 'Feijenoord', 'RC&FC Sparta', 'ADO', 'Go Ahead', 'PSV Eindhoven', 'Sittardia', 'DWS Amsterdam', 'GVAV Groningen', 'FC Xerxes', 'MVV', 'NAC Breda', ""FC Twente '65"", ""Fortuna '54"", 'DOS Utrecht', 'Telstar', 'USV Elinkwijk', 'Willem II']",AFC Ajax,56,5,1966-1967
"['AFC Ajax', 'Feijenoord', 'Go Ahead', 'ADO', 'RC&FC Sparta', 'GVAV Groningen', 'Xerxes/D.H.C.', ""FC Twente '65"", 'DWS Amsterdam', 'SC NEC', 'Telstar', 'RKSV Volendam', 'MVV', 'PSV Eindhoven', 'NAC Breda', 'DOS Utrecht', ""Fortuna '54"", 'Sittardia']",AFC Ajax,58,3,1967-1968
"['Feijenoord', 'AFC Ajax', ""FC Twente '65"", 'Go Ahead', 'PSV Eindhoven', 'ADO', 'NAC Breda', 'RC&FC Sparta', 'DWS Amsterdam', 'Holland Sport', 'GVAV Groningen', 'SC NEC', 'MVV', 'Telstar', 'RKSV Volendam', ""AZ '67 Alkmaar"", 'DOS Utrecht', 'Fortuna SC']",Feijenoord,57,3,1968-1969
"['AFC Ajax', 'Feijenoord', 'PSV Eindhoven', ""FC Twente '65"", 'RC&FC Sparta', 'ADO', 'Go Ahead', 'MVV', 'Holland Sport', 'NAC Breda', 'SC NEC', ""AZ '67 Alkmaar"", 'HFC Haarlem', 'Telstar', 'DWS Amsterdam', 'DOS Utrecht', 'GVAV Groningen', 'SVV Schiedam']",AFC Ajax,60,5,1969-1970
"['Feijenoord', 'AFC Ajax', 'ADO', 'PSV Eindhoven', ""FC Twente '65"", 'RC&FC Sparta', 'Go Ahead', 'SC NEC', 'FC Utrecht', 'RKSV Volendam', 'Telstar', 'DWS Amsterdam', 'MVV', 'NAC Breda', 'Holland Sport', 'SBV Excelsior', ""AZ '67 Alkmaar"", 'HFC Haarlem']",Feijenoord,57,4,1970-1971
"['AFC Ajax', 'Feijenoord', ""FC Twente '65"", 'RC&FC Sparta', 'FC Den Haag-ADO', 'FC Utrecht', 'SC NEC', 'PSV Eindhoven', 'Go Ahead Eagles', 'MVV', 'Telstar', 'FC Groningen', 'NAC Breda', 'DWS Amsterdam', 'SBV Excelsior', ""FC Den Bosch '67"", 'RKSV Volendam', 'ACV Vitesse']",AFC Ajax,63,8,1971-1972
"['AFC Ajax', 'Feijenoord', ""FC Twente '65"", 'RC&FC Sparta', 'FC Den Haag-ADO', 'PSV Eindhoven', 'MVV', 'FC Utrecht', 'SC NEC', 'FC Amsterdam', 'HFC Haarlem', 'Telstar', 'FC Groningen', 'Go Ahead Eagles', ""AZ '67 Alkmaar"", 'NAC Breda', 'SBV Excelsior', ""FC Den Bosch '67""]",AFC Ajax,60,2,1972-1973
"['Feyenoord', ""FC Twente '65"", 'AFC Ajax', 'PSV Eindhoven', 'FC Amsterdam', 'Telstar', ""AZ '67 Alkmaar"", 'RC&FC Sparta', 'FC Utrecht', 'Go Ahead Eagles', 'MVV', 'HFC Haarlem', 'FC Den Haag-ADO', 'De Graafschap', 'Roda JC Kerkrade', 'NAC Breda', 'SC NEC', 'FC Groningen']",Feyenoord,56,2,1973-1974
