teams_ordered,champion,champ_points,champ_margin,year
"['SL Benfica', 'FC Porto', 'Sporting CP', 'Vitória Guimarães', 'CD da CUF Barreiro', 'Os Belenenses', 'Vitória Setúbal', 'Leixões SC', 'Académica de Coimbra', 'Varzim SC', 'Lusitano GC', 'Seixal', 'SC Olhanense', 'FC Barreirense']",SL Benfica,46,6,1963-1964
"['SL Benfica', 'FC Porto', 'CD da CUF Barreiro', 'Académica de Coimbra', 'Sporting CP', 'Vitória Setúbal', 'Vitória Guimarães', 'Os Belenenses', 'Leixões SC', 'Sporting Braga', 'Varzim SC', 'Lusitano GC', 'Seixal', 'União Torreense']",SL Benfica,43,6,1964-1965
"['Sporting CP', 'SL Benfica', 'FC Porto', 'Vitória Guimarães', 'Vitória Setúbal', 'Académica de Coimbra', 'Os Belenenses', 'Varzim SC', 'CD da CUF Barreiro', 'Sporting Braga', 'SC Beira-Mar', 'Leixões SC', 'Lusitano GC', 'FC Barreirense']",Sporting CP,42,1,1965-1966
"['SL Benfica', 'Académica de Coimbra', 'FC Porto', 'Sporting CP', 'Vitória Setúbal', 'Vitória Guimarães', 'Leixões SC', 'CD da CUF Barreiro', 'Sporting Braga', 'Varzim SC', 'Os Belenenses', 'AD Sanjoanense', 'Atlético CP', 'SC Beira-Mar']",SL Benfica,43,3,1966-1967
"['SL Benfica', 'Sporting CP', 'FC Porto', 'Académica de Coimbra', 'Vitória Setúbal', 'Vitória Guimarães', 'Os Belenenses', 'Leixões SC', 'Sporting Braga', 'AD Sanjoanense', 'CD da CUF Barreiro', 'Varzim SC', 'FC Tirsense', 'FC Barreirense']",SL Benfica,41,4,1967-1968
"['SL Benfica', 'FC Porto', 'Vitória Guimarães', 'Vitória Setúbal', 'Sporting CP', 'Académica de Coimbra', 'CD da CUF Barreiro', 'Os Belenenses', 'Varzim SC', 'União Tomar', 'Leixões SC', 'Sporting Braga', 'Atlético CP', 'AD Sanjoanense']",SL Benfica,39,2,1968-1969
"['Sporting CP', 'SL Benfica', 'Vitória Setúbal', 'FC Barreirense', 'Vitória Guimarães', 'Varzim SC', 'Os Belenenses', 'CD da CUF Barreiro', 'FC Porto', 'Académica de Coimbra', 'Leixões SC', 'Boavista', 'Sporting Braga', 'União Tomar']",Sporting CP,46,8,1969-1970
"['SL Benfica', 'Sporting CP', 'FC Porto', 'Vitória Setúbal', 'Académica de Coimbra', 'Boavista', 'Os Belenenses', 'CD da CUF Barreiro', 'FC Tirsense', 'FC Barreirense', 'SC Farense', 'Vitória Guimarães', 'Leixões SC', 'Varzim SC']",SL Benfica,41,3,1970-1971
"['SL Benfica', 'Vitória Setúbal', 'Sporting CP', 'CD da CUF Barreiro', 'FC Porto', 'Vitória Guimarães', 'Os Belenenses', 'FC Barreirense', 'SC Farense', 'Atlético CP', 'Boavista', 'União Tomar', 'SC Beira-Mar', 'Leixões SC', 'Académica de Coimbra', 'FC Tirsense']",SL Benfica,55,10,1971-1972
"['SL Benfica', 'Os Belenenses', 'Vitória Setúbal', 'FC Porto', 'Sporting CP', 'Vitória Guimarães', 'Boavista', 'CD da CUF Barreiro', 'Leixões SC', 'FC Barreirense', 'SC Farense', 'SC Beira-Mar', 'Montijo', 'União Coimbra', 'Atlético CP', 'União Tomar']",SL Benfica,58,18,1972-1973
"['Sporting CP', 'SL Benfica', 'Vitória Setúbal', 'FC Porto', 'Os Belenenses', 'Vitória Guimarães', 'SC Farense', 'CD da CUF Barreiro', 'Boavista', 'Académica de Coimbra', 'SC Olhanense', 'Oriental de Lisboa', 'SC Beira-Mar', 'Leixões SC', 'FC Barreirense', 'Montijo']",Sporting CP,49,2,1973-1974
"['SL Benfica', 'FC Porto', 'Sporting CP', 'Boavista', 'Vitória Guimarães', 'Os Belenenses', 'Vitória Setúbal', 'CD da CUF Barreiro', 'Leixões SC', 'Atlético CP', 'SC Farense', 'União Tomar', 'Académica de Coimbra', 'Oriental de Lisboa', 'SC Olhanense', 'SC Espinho']",SL Benfica,49,5,1974-1975
"['SL Benfica', 'Boavista', 'Os Belenenses', 'FC Porto', 'Sporting CP', 'Vitória Guimarães', 'Sporting Braga', 'GD Estoril', 'Vitória Setúbal', 'Atlético CP', 'Académica de Coimbra', 'Leixões SC', 'SC Beira-Mar', 'União Tomar', 'SC Farense', 'CD da CUF Barreiro']",SL Benfica,50,2,1975-1976
"['SL Benfica', 'Sporting CP', 'FC Porto', 'Boavista', 'Académica de Coimbra', 'Vitória Setúbal', 'Varzim SC', 'Sporting Braga', 'Vitória Guimarães', 'Os Belenenses', 'GD Estoril', 'Portimonense SC', 'SC Beira-Mar', 'Montijo', 'Leixões SC', 'Atlético CP']",SL Benfica,51,9,1976-1977
"['FC Porto', 'SL Benfica', 'Sporting CP', 'Sporting Braga', 'Os Belenenses', 'Vitória Guimarães', 'Boavista', 'Académica de Coimbra', 'Vitória Setúbal', 'Varzim SC', 'GD Estoril', 'CS Marítimo', 'Portimonense SC', 'SC Espinho', 'GD Riopele', 'CD Feirense']",FC Porto,51,0,1977-1978
"['FC Porto', 'SL Benfica', 'Sporting CP', 'Sporting Braga', 'Varzim SC', 'Vitória Guimarães', 'Vitória Setúbal', 'Os Belenenses', 'Boavista', 'CS Marítimo', 'GD Estoril', 'SC Beira-Mar', 'FC Famalicão', 'FC Barreirense', 'Académica de Coimbra', 'Académico de Viseu']",FC Porto,50,1,1978-1979
"['Sporting CP', 'FC Porto', 'SL Benfica', 'Boavista', 'Os Belenenses', 'Vitória Guimarães', 'SC Espinho', 'Portimonense SC', 'Sporting Braga', 'Varzim SC', 'CS Marítimo', 'Vitória Setúbal', 'União Leiria', 'GD Estoril', 'SC Beira-Mar', 'Rio Ave FC']",Sporting CP,52,2,1979-1980
"['SL Benfica', 'FC Porto', 'Sporting CP', 'Boavista', 'Vitória Guimarães', 'Sporting Braga', 'Vitória Setúbal', 'Portimonense SC', 'SC Espinho', 'FC Penafiel', 'Os Belenenses', 'Amora FC', 'Académico de Viseu', 'Varzim SC', 'CS Marítimo', 'Académica de Coimbra']",SL Benfica,50,2,1980-1981
"['Sporting CP', 'SL Benfica', 'FC Porto', 'Vitória Guimarães', 'Rio Ave FC', 'Portimonense SC', 'Sporting Braga', 'Vitória Setúbal', 'Boavista', 'SC Espinho', 'Amora FC', 'GD Estoril', 'FC Penafiel', 'Académico de Viseu', 'Os Belenenses', 'União Leiria']",Sporting CP,46,2,1981-1982
"['SL Benfica', 'FC Porto', 'Sporting CP', 'Vitória Guimarães', 'Boavista', 'Sporting Braga', 'Vitória Setúbal', 'Rio Ave FC', 'Portimonense SC', 'SC Salgueiros', 'GD Estoril', 'Varzim SC', 'SC Espinho', 'CS Marítimo', 'Amora FC', 'GC Alcobaça']",SL Benfica,51,4,1982-1983
"['SL Benfica', 'FC Porto', 'Sporting CP', 'Sporting Braga', 'Vitória Setúbal', 'Vitória Guimarães', 'Boavista', 'Varzim SC', 'Rio Ave FC', 'Portimonense SC', 'SC Salgueiros', 'SC Farense', 'FC Penafiel', 'GD Estoril', 'R.D. Águeda', 'SC Espinho']",SL Benfica,52,3,1983-1984
"['FC Porto', 'Sporting CP', 'SL Benfica', 'Boavista', 'Portimonense SC', 'Os Belenenses', 'Académica de Coimbra', 'Sporting Braga', 'Vitória Guimarães', 'FC Penafiel', 'Vitória Setúbal', 'SC Salgueiros', 'Rio Ave FC', 'SC Farense', 'Varzim SC', 'FC Vizela']",FC Porto,55,8,1984-1985
"['FC Porto', 'SL Benfica', 'Sporting CP', 'Vitória Guimarães', 'Boavista', 'GD Chaves', 'Portimonense SC', 'Os Belenenses', 'Sporting Braga', 'Académica de Coimbra', 'SC Salgueiros', 'CS Marítimo', 'CD Aves', 'Vitória Setúbal', 'FC Penafiel', 'Sporting Covilhã']",FC Porto,49,2,1985-1986
"['SL Benfica', 'FC Porto', 'Vitória Guimarães', 'Sporting CP', 'GD Chaves', 'Os Belenenses', 'Varzim SC', 'Boavista', 'Sporting Braga', 'Académica de Coimbra', 'Portimonense SC', 'CS Marítimo', 'Rio Ave FC', 'SC Salgueiros', 'SC Farense', 'O Elvas']",SL Benfica,49,3,1986-1987
